inicio,varinicio,varfim,PT_V,id,inteiro,real,lit,leia,escreva,literal,num,RCB,OPM,se,AB_P,FC_P,entao,OPR,fimse,fim,EOF,P',P,V,LV,D,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CABECALHO,EXP_R,CORPO
S2,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,1,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5,E5
E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,ACC,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11
E6,S3,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,8,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6
E8,E8,S11,E8,S12,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,9,10,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8
E0,E0,E0,R7,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0
E9,E9,E9,E9,R5,E9,E9,E9,R5,R5,E9,E9,E9,E9,R5,E9,E9,E9,E9,E9,R5,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9
E8,E8,E8,S15,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8
E10,E10,E10,E1,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,R2,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10
E9,E9,E9,E9,S21,E9,E9,E9,S24,S25,E9,E9,E9,E9,S23,E9,E9,E9,E9,E9,S17,E9,E9,E9,E9,E9,E9,E9,7,18,E9,19,E9,E9,20,22,E9,E9
E9,E9,E9,E9,R3,E9,E9,E9,R3,R3,E9,E9,E9,E9,R3,E9,E9,E9,E9,E9,R3,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9
E9,E9,S11,E9,S12,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,57,10,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9
E0,E0,E0,S5,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0
E7,E7,E7,E7,E7,S4,S13,S14,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7,6,E7,E7,E7,E7,E7,E7,E7,E7,E7,E7
E0,E0,E0,R8,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0
E0,E0,E0,R9,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0
E10,E10,R6,E10,R6,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10,E10
E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,R10,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11
E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,R30,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11
E9,E9,E9,E9,S21,E9,E9,E9,S24,S25,E9,E9,E9,E9,S23,E9,E9,E9,E9,E9,S17,E9,E9,E9,E9,E9,E9,E9,16,18,E9,19,E9,E9,20,22,E9,E9
E9,E9,E9,E9,S21,E9,E9,E9,S24,S25,E9,E9,E9,E9,S23,E9,E9,E9,E9,E9,S17,E9,E9,E9,E9,E9,E9,E9,26,18,E9,19,E9,E9,20,22,E9,E9
E9,E9,E9,E9,S21,E9,E9,E9,S24,S25,E9,E9,E9,E9,S23,E9,E9,E9,E9,E9,S17,E9,E9,E9,E9,E9,E9,E9,27,18,E9,19,E9,E9,20,22,E9,E9
E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,S28,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1
E9,E9,E9,E9,S21,E9,E9,E9,S24,S25,E9,E9,E9,E9,S23,E9,E9,E9,E9,S38,E9,E9,E9,E9,E9,E9,E9,E9,E9,35,E9,36,E9,E9,37,22,E9,29
E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,S43,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9
E11,E7,E11,E11,S30,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11
E13,E13,E13,E13,S33,E13,E13,E13,E13,E13,S31,S32,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,34,E13,E13,E13,E13,E13,E13,E13
E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,R16,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11
E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,R22,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11
E14,E14,E14,E14,S41,E14,E14,E14,E14,E14,E14,S42,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E141,E14,E14,E14,E14,39,40,E14,E14,E14,E14
E9,E9,E9,E9,R23,E9,E9,E9,R23,R23,E9,E9,E9,E9,R23,E9,E9,E9,E9,R23,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9
E0,E0,E0,S58,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0
E0,E0,E0,R13,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0
E0,E0,E0,R14,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0
E0,E0,E0,R15,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0
E8,E8,E8,S44,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8
E9,E9,E9,E9,S21,E9,E9,E9,S24,S25,E9,E9,E9,E9,S23,E9,E9,E9,E9,S38,E9,E9,E9,E9,E9,E9,E9,E9,E9,35,E9,36,E9,E9,37,22,E9,45
E9,E9,E9,E9,S21,E9,E9,E9,S24,S25,E9,E9,E9,E9,S23,E9,E9,E9,E9,S38,E9,E9,E9,E9,E9,E9,E9,E9,E9,35,E9,36,E9,E9,37,22,E9,46
E9,E9,E9,E9,S21,E9,E9,E9,S24,S25,E9,E9,E9,E9,S23,E9,E9,E9,E9,S38,E9,E9,E9,E9,E9,E9,E9,E9,E9,35,E9,36,E9,E9,37,22,E9,47
E9,E9,E9,E9,R29,E9,E9,E9,R29,R29,E9,E9,E9,E9,R29,E9,E9,E9,E9,R29,R29,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9
E8,E8,E8,S48,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8
E12,E12,E12,R19,E12,E12,E12,E12,E12,E12,E12,E12,E12,S49,E12,E12,S49,E12,S49,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12
E12,E12,E12,R20,E12,E12,E12,E12,E12,E12,E12,E12,E12,R20,E12,E12,R20,E12,R20,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12
E12,E12,E12,R21,E12,E12,E12,E12,E12,E12,E12,E12,E12,R21,E12,E12,R21,E12,R21,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12
E12,E12,E12,E12,S41,E12,E12,E12,E12,E12,E12,S42,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,54,E12,E12,51,E12
E9,E9,E9,E9,R12,E9,E9,E9,R12,R12,E9,E9,E9,E9,R12,E9,E9,E9,E9,R12,R12,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9
E9,E9,E9,E9,R26,E9,E9,E9,R26,R26,E9,E9,E9,E9,R26,E9,E9,E9,E9,R26,R26,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9
E9,E9,E9,E9,R27,E9,E9,E9,R27,R27,E9,E9,E9,E9,R27,E9,E9,E9,E9,R27,R27,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9
E9,E9,E9,E9,R28,E9,E9,E9,R28,R28,E9,E9,E9,E9,R28,E9,E9,E9,E9,R28,R28,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9
E9,E9,E9,E9,R17,E9,E9,E9,R17,R17,E9,E9,E9,E9,R17,E9,E9,E9,E9,R17,R17,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9
E14,E14,E14,E14,S41,E14,E14,E14,E14,E14,E14,S42,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,50,E14,E14,E14,E14
E0,E0,E0,R18,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0,E0
E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,S52,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12,E12
E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,S53,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4
E9,E9,E9,E9,R24,E9,E9,E9,R24,R24,E9,E9,E9,E9,R24,E9,E9,E9,E9,R24,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9
E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,S55,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8,E8
E14,E14,E14,E14,S41,E14,E14,E14,E14,E14,E14,S42,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,56,E14,E14,E14,E14
E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,R25,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2,E2
E9,E9,E9,E9,R4,E9,E9,E9,R4,R4,E9,E9,E9,E9,R4,E9,E9,E9,E9,E9,R4,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9
E9,E9,E9,E9,R11,E9,E9,E9,R11,R11,E9,E9,E9,E9,R11,E9,E6,E9,E9,R11,R11,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9,E9